ID_item,item,training,crit,ID,est,domain
7,Mexico,0,75.3,nkfzm8e0mtcu,73,Countries
7,Mexico,0,75.3,6pjob01zppal,87,Countries
7,Mexico,0,75.3,19x6o075e4oy,67.7,Countries
7,Mexico,0,75.3,ovd5s5i79kru,76.5,Countries
7,Mexico,0,75.3,a1yt5ymbgc4m,85,Countries
7,Mexico,0,75.3,1nziths5mtj0,76,Countries
7,Mexico,0,75.3,oi136bu0srj9,79,Countries
7,Mexico,0,75.3,i6xr02yzsoee,79,Countries
7,Mexico,0,75.3,8pxa6oh4ylfk,79.8,Countries
7,Mexico,0,75.3,5p4nqbumcod1,82,Countries
7,Mexico,0,75.3,nxibx285n3rn,76,Countries
7,Mexico,0,75.3,kesc2p7oa7me,79,Countries
7,Mexico,0,75.3,okeobbnlodto,86,Countries
7,Mexico,0,75.3,sbydcgc89frj,78,Countries
7,Mexico,0,75.3,vzgw3yufjpr4,70,Countries
8,Ethiopia,0,67.6,n11xewpgbxj4,55,Countries
8,Ethiopia,0,67.6,munr1sh9ezc8,52,Countries
8,Ethiopia,0,67.6,7k1k3a6issm1,50,Countries
8,Ethiopia,0,67.6,4n5e6nkj21xl,60,Countries
8,Ethiopia,0,67.6,k5d1wxxqlmni,52,Countries
8,Ethiopia,0,67.6,xwvj2v8391m1,68,Countries
8,Ethiopia,0,67.6,x7t9moqpn7du,55,Countries
8,Ethiopia,0,67.6,cu4jzug5dshc,59,Countries
8,Ethiopia,0,67.6,p1zg6qqoufvv,58,Countries
8,Ethiopia,0,67.6,wlfzyxtuin3l,56,Countries
8,Ethiopia,0,67.6,hpajcjzog48v,72,Countries
8,Ethiopia,0,67.6,dlan9mr2iku8,53,Countries
8,Ethiopia,0,67.6,8xw3ufhwbsme,64,Countries
8,Ethiopia,0,67.6,7bagakupy07m,66,Countries
8,Ethiopia,0,67.6,jlx0jreulovy,55,Countries
8,Ethiopia,0,67.6,kp76hw01z3b2,78,Countries
8,Ethiopia,0,67.6,f52y9ezjwc9h,80.1,Countries
8,Ethiopia,0,67.6,ev2fnz9nxtx2,72,Countries
8,Ethiopia,0,67.6,nfd8u3q7kdlu,67,Countries
8,Ethiopia,0,67.6,mq9p1a54t26w,60,Countries
8,Ethiopia,0,67.6,svdxe9n1f3ku,57.6,Countries
8,Ethiopia,0,67.6,6p84ypzofiiy,65.6,Countries
8,Ethiopia,0,67.6,15er40f6hrc7,76,Countries
8,Ethiopia,0,67.6,1jyepxdsepby,61,Countries
8,Ethiopia,0,67.6,un90iavtgolm,54.2,Countries
8,Ethiopia,0,67.6,8xds32cqrhlg,68,Countries
8,Ethiopia,0,67.6,830wmzipl92b,78,Countries
8,Ethiopia,0,67.6,ap09bdriiaxs,76,Countries
8,Ethiopia,0,67.6,f7wkplh1kr5z,67.1,Countries
8,Ethiopia,0,67.6,rj8dmpyn2563,54,Countries
8,Ethiopia,0,67.6,1r4upum7lxhi,55,Countries
8,Ethiopia,0,67.6,j76opfa4wjzj,71,Countries
8,Ethiopia,0,67.6,efuhrzbhjnwg,61,Countries
8,Ethiopia,0,67.6,nkfzm8e0mtcu,52,Countries
8,Ethiopia,0,67.6,6pjob01zppal,56.8,Countries
8,Ethiopia,0,67.6,19x6o075e4oy,89,Countries
8,Ethiopia,0,67.6,ovd5s5i79kru,78.5,Countries
8,Ethiopia,0,67.6,a1yt5ymbgc4m,64,Countries
8,Ethiopia,0,67.6,1nziths5mtj0,78,Countries
8,Ethiopia,0,67.6,oi136bu0srj9,68,Countries
8,Ethiopia,0,67.6,i6xr02yzsoee,57,Countries
8,Ethiopia,0,67.6,8pxa6oh4ylfk,70.6,Countries
8,Ethiopia,0,67.6,5p4nqbumcod1,72,Countries
8,Ethiopia,0,67.6,nxibx285n3rn,70,Countries
8,Ethiopia,0,67.6,kesc2p7oa7me,59,Countries
8,Ethiopia,0,67.6,okeobbnlodto,78,Countries
8,Ethiopia,0,67.6,sbydcgc89frj,78,Countries
8,Ethiopia,0,67.6,vzgw3yufjpr4,70,Countries
9,Egypt,1,71.8,n11xewpgbxj4,71,Countries
9,Egypt,1,71.8,munr1sh9ezc8,71,Countries
9,Egypt,1,71.8,7k1k3a6issm1,78,Countries
9,Egypt,1,71.8,4n5e6nkj21xl,72,Countries
9,Egypt,1,71.8,k5d1wxxqlmni,78,Countries
9,Egypt,1,71.8,xwvj2v8391m1,71,Countries
9,Egypt,1,71.8,x7t9moqpn7du,71,Countries
9,Egypt,1,71.8,cu4jzug5dshc,71,Countries
